candidate,fold,n_train,n_validation,n_new_fsd50k_cough_validation,recall_new_fsd50k_cough,fit_seconds,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct
lr__C0p3__l1__weight_none,0,6265,1453,21,0.2857142857142857,0.12110610003583133,1453,1035,418,0.9731589814177564,0.964045489217114,0.9633251833740831,0.9425837320574163,0.9855072463768116,0.9528415961305925,0.9670412886857869,0.9888195455701176,1020,15,24,394
lr__C0p3__l1__weight_none,1,6161,1557,27,0.2962962962962963,0.11595010000746697,1557,1131,426,0.9550417469492614,0.9471052664350381,0.908256880733945,0.9295774647887324,0.964633068081344,0.9187935034802784,0.9438550110651835,0.9871711850827927,1091,40,30,396
lr__C0p3__l1__weight_none,2,6237,1481,25,0.6,0.13810380001086742,1481,1058,423,0.9608372721134368,0.9534348228291035,0.927400468384075,0.9361702127659575,0.9706994328922496,0.9317647058823529,0.9521512923351159,0.9865596803818257,1027,31,27,396
lr__C0p3__l1__weight_none,3,6025,1693,28,0.32142857142857145,0.13199270004406571,1693,1268,425,0.9645599527466037,0.9536583781777696,0.927400468384075,0.9317647058823529,0.9755520504731862,0.9295774647887324,0.9529497426548239,0.9892150677305623,1237,31,29,396
lr__C0p3__l1__weight_none,4,6184,1534,31,0.25806451612903225,0.14053279999643564,1534,1111,423,0.9654498044328553,0.9549199600811145,0.9425837320574163,0.9314420803782506,0.9783978397839784,0.9369797859690844,0.9565904767294906,0.9842090592037926,1087,24,29,394
