dataset,experiment,candidate_key,threshold,model_size_kb_joblib,xgb_native_size_kb,pca_float_count,estimated_pca_float32_kb,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct,xgb_tree_count,xgb_total_nodes,xgb_total_leaves,xgb_total_split_nodes,xgb_mean_nodes_per_tree
train_oof,raw_pca64_xgb_event,xgb__trees100__depth3__lr0p03__child10__sub0p7__col1__lambda1__gamma0p3,0.5179383493959904,986.2763671875,104.5634765625,266368,1040.5,0.7054836722119532,0.5770626098380794,0.5784296464389582,0.8034727703235991,0.35674157303370785,0.8163592622293504,0.3377659574468085,0.6086991758944872,0.3036836111326882,1018,229,249,127,100,1192,646,546,11.92
validation,raw_pca64_xgb_event,xgb__trees100__depth3__lr0p03__child10__sub0p7__col1__lambda1__gamma0p3,0.5179383493959904,986.2763671875,104.5634765625,266368,1040.5,0.6991404011461319,0.5930532522572323,0.5901052560933323,0.8122605363984674,0.36363636363636365,0.7910447761194029,0.3950617283950617,0.6475032246176524,0.3340620972062561,212,56,49,32,100,1192,646,546,11.92
