pca_components,cumulative_explained_variance_ratio,cumulative_explained_variance_percent
16,0.8461458683013916,84.61458683013916
32,0.9087486863136292,90.87486863136292
64,0.9468255043029785,94.68255043029785
128,0.9702883958816528,97.02883958816528
