dataset,experiment,candidate_key,threshold,model_size_kb_joblib,learned_inference_float_count,estimated_float32_parameters_kb,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
train_oof,raw_pca_event,linear_svm__C0.001__pca64,0.05999068702937744,965.466796875,266433,1040.75390625,0.6734442390634627,0.5850061424013377,0.5763445626477541,0.810928013876843,0.33617021276595743,0.7497995188452286,0.42021276595744683,0.6185675408213755,0.3165666603801419,935,312,218,158
validation,raw_pca_event,linear_svm__C0.001__pca64,0.05999068702937744,965.466796875,266433,1040.75390625,0.6532951289398281,0.59765984890363,0.5772745928306156,0.8209606986899564,0.3333333333333333,0.7014925373134329,0.49382716049382713,0.6632117191818684,0.33509977671584784,188,80,41,40
