experiment,candidate_key,model_name,C,pca_components,score_type,threshold_oof,elapsed_seconds_total_run,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
raw_pca_event,linear_svm__C0.001__pca64,linear_svm,0.001,64,wet_decision_score,0.05999068702937744,22.012304799631238,0.6734442390634627,0.5850061424013377,0.5763445626477541,0.810928013876843,0.33617021276595743,0.7497995188452286,0.42021276595744683,0.6185675408213755,0.3165666603801419,935,312,218,158
raw_pca_event,logistic_regression__C1__pca64,logistic_regression,1.0,64,wet_probability,0.5565314502446391,14.954359900206327,0.6937769562538509,0.5759461004282619,0.5750021733804365,0.8038897893030794,0.3444730077120823,0.7955092221331195,0.35638297872340424,0.6182838813151564,0.3164646245725763,992,255,242,134
raw_pca_event,logistic_regression__C10__pca64,logistic_regression,10.0,64,wet_probability,0.5566562585871879,18.345203198492527,0.6937769562538509,0.5759461004282619,0.5750021733804365,0.8038897893030794,0.3444730077120823,0.7955092221331195,0.35638297872340424,0.6182753502021874,0.3164946433571989,992,255,242,134
raw_pca_event,logistic_regression__C0.01__pca64,logistic_regression,0.01,64,wet_probability,0.529066950618716,8.548274900764227,0.66728280961183,0.5856406439284069,0.5747763308556679,0.8120035304501324,0.3326530612244898,0.7377706495589414,0.43351063829787234,0.6186613830640345,0.31646855180059896,920,327,213,163
raw_pca_event,linear_svm__C0.01__pca64,linear_svm,0.01,64,wet_decision_score,0.07038775719390869,25.11031219922006,0.6728280961182994,0.5827475302427955,0.5745664893971504,0.8096885813148789,0.3340471092077088,0.7506014434643143,0.4148936170212766,0.6180706034909313,0.316716485951685,936,311,220,156
raw_pca_event,logistic_regression__C0.1__pca64,logistic_regression,0.1,64,wet_probability,0.5549950326593515,11.558339700102806,0.6931608133086876,0.575545138118719,0.5745315000421124,0.8037307380373074,0.3435897435897436,0.7947072975140337,0.35638297872340424,0.618409715231449,0.3164942512891067,991,256,242,134
raw_pca_event,linear_svm__C0.1__pca64,linear_svm,0.1,64,wet_decision_score,0.05143620552416732,28.166058300063014,0.6586568083795441,0.5893154208398028,0.5741489059391872,0.8152866242038217,0.3301526717557252,0.7185244587008821,0.4601063829787234,0.6179575662440921,0.3166278180515325,896,351,203,173
raw_pca_event,linear_svm__C1__pca64,linear_svm,1.0,64,wet_decision_score,0.0515148489143714,31.150604099035263,0.6586568083795441,0.5893154208398028,0.5741489059391872,0.8152866242038217,0.3301526717557252,0.7185244587008821,0.4601063829787234,0.6179277073487007,0.3166139662479276,896,351,203,173
raw_pca_event,logistic_regression__C1__pca128,logistic_regression,1.0,128,wet_probability,0.5608766280632966,15.855841100215912,0.6820702402957486,0.5711142913204457,0.5683688615841339,0.8023159636062862,0.3309178743961353,0.7778668805132317,0.36436170212765956,0.6021984678121108,0.300308728048463,970,277,239,137
raw_pca_event,logistic_regression__C0.1__pca128,logistic_regression,0.1,128,wet_probability,0.5588928749733841,12.26430649869144,0.6820702402957486,0.5711142913204457,0.5683688615841339,0.8023159636062862,0.3309178743961353,0.7778668805132317,0.36436170212765956,0.602192069477384,0.3003361580569834,970,277,239,137
raw_pca_event,logistic_regression__C10__pca128,logistic_regression,10.0,128,wet_probability,0.5610332270017884,19.224937099963427,0.6814540973505854,0.5707133290109028,0.5679031672507151,0.8021523178807947,0.3301204819277108,0.7770649558941459,0.36436170212765956,0.6022133972598065,0.30031321121805526,969,278,239,137
raw_pca_event,logistic_regression__C0.01__pca128,logistic_regression,0.01,128,wet_probability,0.5509019476281964,9.305044399574399,0.6814540973505854,0.5679268542374039,0.5656620347484451,0.800658978583196,0.3276283618581907,0.7794707297514034,0.35638297872340424,0.6023072395024656,0.29966394938330676,972,275,242,134
raw_pca_event,linear_svm__C0.1__pca128,linear_svm,0.1,128,wet_decision_score,0.11229715589643882,28.933466201648116,0.6789895255699322,0.5681806548482315,0.5653041364281532,0.8009950248756219,0.3261390887290168,0.7746591820368885,0.3617021276595745,0.600362145745534,0.29881716280307036,966,281,240,136
raw_pca_event,linear_svm__C1__pca128,linear_svm,1.0,128,wet_decision_score,0.11261143152610505,31.857858600094914,0.6789895255699322,0.5681806548482315,0.5653041364281532,0.8009950248756219,0.3261390887290168,0.7746591820368885,0.3617021276595745,0.6003600129672917,0.29882952951302044,966,281,240,136
raw_pca_event,linear_svm__C0.001__pca128,linear_svm,0.001,128,wet_decision_score,0.07879835287375855,22.826622400432825,0.6678989525569933,0.5711804074459554,0.5647838911776895,0.8036020583190394,0.32166301969365424,0.7514033680834001,0.39095744680851063,0.60152450988756,0.2985333241994931,937,310,229,147
raw_pca_event,linear_svm__C0.01__pca128,linear_svm,0.01,128,wet_decision_score,0.10457129189237854,25.846981899812818,0.6752926678989526,0.5685613557644731,0.5647232449790204,0.8015075376884422,0.32400932400932403,0.7674418604651163,0.3696808510638298,0.6004495896534662,0.298823538149656,957,290,237,139
raw_pca_event,linear_svm__C1__pca32,linear_svm,1.0,32,wet_decision_score,0.07589531124682922,30.403173798695207,0.6586568083795441,0.556806548482315,0.5516127423601691,0.7964071856287425,0.3039647577092511,0.7465918203688853,0.3670212765957447,0.5920229828183384,0.2791644421880732,931,316,238,138
raw_pca_event,linear_svm__C0.001__pca32,linear_svm,0.001,32,wet_decision_score,0.0658709325993896,21.035654399544,0.66728280961183,0.5540605964954188,0.5513600176912871,0.794338051623647,0.3056872037914692,0.7650360866078588,0.34308510638297873,0.591907812793257,0.27876173111139785,954,293,247,129
