dataset,experiment,candidate_key,wst_model,coch_model,alpha_wst,weight_coch,score_calibration,model_size_kb_joblib,threshold_policy,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
train_oof,late_fusion_wst_cochleograms,late_fusion__wst_lr__coch_raw_pca64_rf__alpha0p80,wst_recording_pca128_logistic_regression,coch_raw_pca64_rf,0.8,0.19999999999999996,none_raw_probabilities,2865.5712890625,fixed_0p5,0.5,0.6648182378311769,0.6425527649337133,0.6060187416331995,0.8504486540378864,0.36451612903225805,0.6840417000801925,0.601063829787234,0.6852360558958521,0.38156922189696474,853,394,150,226
train_oof,late_fusion_wst_cochleograms,late_fusion__wst_lr__coch_raw_pca64_rf__alpha0p80,wst_recording_pca128_logistic_regression,coch_raw_pca64_rf,0.8,0.19999999999999996,none_raw_probabilities,2865.5712890625,oof_tuned_frozen,0.5248999438745263,0.7036352433764633,0.6520233667184221,0.6300092940458863,0.8481818181818181,0.39961759082217974,0.748195669607057,0.5558510638297872,0.6852360558958521,0.38156922189696474,933,314,167,209
validation,late_fusion_wst_cochleograms,late_fusion__wst_lr__coch_raw_pca64_rf__alpha0p80,wst_recording_pca128_logistic_regression,coch_raw_pca64_rf,0.8,0.19999999999999996,none_raw_probabilities,2865.5712890625,fixed_0p5,0.5,0.6504297994269341,0.6431730237700387,0.5989865883062085,0.8543689320388349,0.35664335664335667,0.6567164179104478,0.6296296296296297,0.6777224986180208,0.3578866864561311,176,92,30,51
validation,late_fusion_wst_cochleograms,late_fusion__wst_lr__coch_raw_pca64_rf__alpha0p80,wst_recording_pca128_logistic_regression,coch_raw_pca64_rf,0.8,0.19999999999999996,none_raw_probabilities,2865.5712890625,oof_tuned_frozen,0.5248999438745263,0.6790830945558739,0.6489082365948038,0.6164835164835165,0.8513513513513513,0.3779527559055118,0.7052238805970149,0.5925925925925926,0.6777224986180208,0.3578866864561311,189,79,33,48
