dataset,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct,cough_quality
train_oof,0.5,7628,5658,1970,0.9802045097011012,0.977060736067524,0.9536159600997506,0.9705583756345177,0.9835630965005302,0.9620125786163523,0.9743136202185564,0.9974931501687562,5565,93,58,1912,
train_fit,0.5,7628,5658,1970,0.985186156266387,0.9827349263340349,0.9654135338345865,0.9776649746192894,0.9878048780487805,0.971500630517024,0.9807463297833547,0.9983414167622144,5589,69,44,1926,
validation,0.5,1640,1217,423,0.9810975609756097,0.9772383355575369,0.9579439252336449,0.9692671394799054,0.9852095316351684,0.963572267920094,0.9754049071177251,0.9956292942184304,1199,18,13,410,
test,0.5,1642,1219,423,0.9811205846528623,0.9749348863638567,0.9644549763033176,0.9621749408983451,0.9876948318293683,0.9633136094674556,0.9753017411830922,0.9984000372354971,1204,15,16,407,
test_good_cough_vs_shared_no_cough,0.5,1443,1219,224,0.9861399861399861,0.9826867016289699,0.9358974358974359,0.9776785714285714,0.9876948318293683,0.9563318777292577,0.9740473227196536,0.9986413043478262,1204,15,5,219,good
test_ok_cough_vs_shared_no_cough,0.5,1380,1219,161,0.9847826086956522,0.9752138755420134,0.9117647058823529,0.9627329192546584,0.9876948318293683,0.9365558912386707,0.9639551790487302,0.9987822214522646,1204,15,6,155,ok
test_poor_cough_vs_shared_no_cough,0.5,1257,1219,38,0.9840891010342084,0.9280579422304737,0.6875,0.868421052631579,0.9876948318293683,0.7674418604651163,0.8796023140875828,0.9953585769180952,1204,15,5,33,poor
