candidate,fold,n_train,n_validation,fit_seconds,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct,trainable_parameters,deployment_float_values,tree_nodes_total
lr__C0p3__l1__weight_none,0,6098,1530,0.09176899999147281,1530,1136,394,0.9771241830065359,0.9729905447915922,0.9476309226932669,0.9644670050761421,0.9815140845070423,0.9559748427672956,0.9702611520679745,0.9971759490955887,1115,21,14,380,118,352,0
lr__C0p3__l1__weight_none,1,6115,1513,0.08681110000179615,1513,1119,394,0.9748843357567746,0.9715096419482587,0.9405940594059405,0.9644670050761421,0.9785522788203753,0.9523809523809523,0.9676626485423613,0.9966295142054862,1095,24,14,380,118,352,0
lr__C0p3__l1__weight_none,2,6108,1520,0.10152969999762718,1520,1126,394,0.9828947368421053,0.9835047921306272,0.9509803921568627,0.9847715736040609,0.9822380106571936,0.9675810473815462,0.9779817658712914,0.9980863034324818,1106,20,6,388,118,352,0
lr__C0p3__l1__weight_none,3,6098,1530,0.08833779999986291,1530,1136,394,0.9830065359477124,0.9777807070851505,0.9670050761421319,0.9670050761421319,0.988556338028169,0.9670050761421319,0.9777807070851505,0.9980562307857296,1123,13,13,381,118,352,0
lr__C0p3__l1__weight_none,4,6093,1535,0.08800990000599995,1535,1141,394,0.9830618892508143,0.9794674277172486,0.9623115577889447,0.9720812182741116,0.9868536371603857,0.9671717171717171,0.9778790982697918,0.9977199624516744,1126,15,11,383,118,352,0
