candidate_key,parameter_count,threshold_oof,elapsed_seconds,pooling,projection_channels,embedding_units,attention_units,dropout_rate,l2_strength,learning_rate,batch_size,max_epochs,patience,encoder_spatial_dropout_rate,embedding_dropout_rate,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,fixed_0p5__accuracy,fixed_0p5__balanced_accuracy,fixed_0p5__macro_f1,fixed_0p5__dry_precision,fixed_0p5__wet_precision,fixed_0p5__dry_recall,fixed_0p5__wet_recall,fixed_0p5__roc_auc,fixed_0p5__average_precision_wet,fixed_0p5__tn_dry_correct,fixed_0p5__fp_dry_as_wet,fixed_0p5__fn_wet_as_dry,fixed_0p5__tp_wet_correct,fold_macro_f1_mean,fold_macro_f1_std,fold_macro_f1_min,fold_wet_recall_min,fold_roc_auc_min
mil_attention__proj32__emb16__att16__drop0p35__l20p003__lr0p0003__spdrop0p2__embdrop0p25,24633,0.6279127895832062,353.7293727993965,attention,32,16,16,0.35,0.003,0.0003,32,120,12,0.2,0.25,0.7393715341959335,0.6139767356549335,0.6183263441544687,0.8193798449612403,0.4294294294294294,0.8476343223736968,0.3803191489361702,0.6804010476206727,0.3920126106447217,1057,190,233,143,0.6709796672828097,0.6344876640106469,0.6050770997375328,0.8431183830606352,0.3647260273972603,0.702485966319166,0.5664893617021277,0.6804010476206727,0.3920126106447217,876,371,163,213,0.6172233641715164,0.02748980023823951,0.5696260917436653,0.26666666666666666,0.6270399999999999
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,12321,0.5389963090419769,199.64446730166674,attention,16,8,8,0.2,0.001,0.0005,32,120,12,0.0,0.0,0.7042513863216266,0.6292037059154737,0.6168977292397753,0.8331885317115552,0.3898305084745763,0.7690457097032879,0.48936170212765956,0.6725289631285296,0.37380088222459246,959,288,192,184,0.6691312384473198,0.6286406524595198,0.6011626241460277,0.8393881453154876,0.36048526863084923,0.7040898155573376,0.5531914893617021,0.6725289631285296,0.37380088222459246,878,369,168,208,0.6171560064744822,0.03526332541105363,0.5581954887218045,0.41333333333333333,0.6178666666666666
mil_attention__proj16__emb8__att8__drop0p3__l20p001__lr0p0005__spdrop0p15__embdrop0p2,12321,0.522842526435852,264.0711870007217,attention,16,8,8,0.3,0.001,0.0005,32,120,12,0.15,0.2,0.6956253850893407,0.6263767083553721,0.6115689907097704,0.8328912466843501,0.3800813008130081,0.7554129911788292,0.4973404255319149,0.6673868347864663,0.3754952895870981,942,305,189,187,0.674060382008626,0.6272042263133648,0.6026596815509178,0.8374060150375939,0.3631484794275492,0.714514835605453,0.5398936170212766,0.6673868347864663,0.3754952895870981,891,356,173,203,0.6115194595424531,0.037035737509440426,0.5493577892381045,0.38666666666666666,0.6016
mil_attention__proj16__emb8__att8__drop0p35__l20p003__lr0p0003__spdrop0p2__embdrop0p25,12321,0.5100151896476746,552.7967758998275,attention,16,8,8,0.35,0.003,0.0003,32,120,12,0.2,0.25,0.6863832409118915,0.6250063983347267,0.6068458030990435,0.833634719710669,0.3713733075435203,0.739374498797113,0.5106382978723404,0.6724649797812622,0.3843528160067447,922,325,184,192,0.6722119531731362,0.6194995649132387,0.5975647952392138,0.8325581395348837,0.35766423357664234,0.7177225340817963,0.5212765957446809,0.6724649797812622,0.3843528160067447,895,352,180,196,0.6070195136070922,0.035970736748528215,0.5489805358858485,0.41333333333333333,0.6013866666666667
