candidate_key,outer_fold,inner_repeat,epoch,learning_rate,train_loss,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_dry_precision,validation_wet_precision,validation_dry_recall,validation_wet_recall,validation_roc_auc,validation_average_precision_wet,validation_tn_dry_correct,validation_fp_dry_as_wet,validation_fn_wet_as_dry,validation_tp_wet_correct,best_epoch_inner,epochs_run_inner
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,1,0.0005000000237487257,0.7549352049827576,0.7461029887199402,0.358974358974359,0.56,0.35565307039572813,0.9032258064516129,0.25609756097560976,0.18666666666666668,0.9333333333333333,0.6296296296296297,0.3228079219884152,28,122,3,42,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,2,0.0005000000237487257,0.7390145063400269,0.744047999382019,0.6153846153846154,0.6177777777777778,0.5689528132276224,0.8440366972477065,0.32558139534883723,0.6133333333333333,0.6222222222222222,0.6371851851851853,0.32747887240769463,92,58,17,28,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,3,0.0005000000237487257,0.722649097442627,0.7212807536125183,0.6205128205128205,0.5822222222222222,0.5546296296296297,0.8166666666666667,0.30666666666666664,0.6533333333333333,0.5111111111111111,0.658074074074074,0.35043074877272534,98,52,22,23,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,4,0.0005000000237487257,0.7068793177604675,0.7107809782028198,0.6564102564102564,0.6211111111111112,0.590964590964591,0.8373983739837398,0.3472222222222222,0.6866666666666666,0.5555555555555556,0.6751111111111111,0.3585551944881846,103,47,20,25,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,5,0.0005000000237487257,0.6980108022689819,0.7168787121772766,0.6871794871794872,0.6333333333333333,0.6116425609716283,0.8396946564885496,0.375,0.7333333333333333,0.5333333333333333,0.6712592592592592,0.3628467205582884,110,40,21,24,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,6,0.0005000000237487257,0.6924479603767395,0.7085757255554199,0.6820512820512821,0.6455555555555555,0.6157513348588863,0.8492063492063492,0.37681159420289856,0.7133333333333334,0.5777777777777777,0.6857777777777778,0.3775229179000429,107,43,19,26,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,7,0.0005000000237487257,0.680233359336853,0.7175168395042419,0.6717948717948717,0.6388888888888888,0.6073496098665996,0.8467741935483871,0.36619718309859156,0.7,0.5777777777777777,0.6842962962962963,0.37386681697427127,105,45,19,26,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,8,0.0005000000237487257,0.6627633571624756,0.7073081135749817,0.6923076923076923,0.6599999999999999,0.6281464530892449,0.8571428571428571,0.391304347826087,0.72,0.6,0.687111111111111,0.3866975316238648,108,42,18,27,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,9,0.0005000000237487257,0.6538838744163513,0.7018492221832275,0.6820512820512821,0.6688888888888889,0.6268518518518519,0.8666666666666667,0.38666666666666666,0.6933333333333334,0.6444444444444445,0.7122962962962963,0.4202404988018531,104,46,16,29,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,10,0.0005000000237487257,0.6449608206748962,0.7218494415283203,0.6820512820512821,0.6377777777777778,0.6117034943473793,0.84375,0.373134328358209,0.72,0.5555555555555556,0.6915555555555556,0.414003586035391,108,42,20,25,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,11,0.0005000000237487257,0.6243374347686768,0.7011613845825195,0.6871794871794872,0.6799999999999999,0.6345509846692678,0.8739495798319328,0.39473684210526316,0.6933333333333334,0.6666666666666666,0.7197037037037036,0.4297084238442114,104,46,15,30,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,12,0.0005000000237487257,0.62296062707901,0.7305532693862915,0.6512820512820513,0.6333333333333333,0.594445803768045,0.847457627118644,0.35064935064935066,0.6666666666666666,0.6,0.7026666666666666,0.4157171283977893,100,50,18,27,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,13,0.0005000000237487257,0.6218421459197998,0.715386152267456,0.6461538461538462,0.6455555555555555,0.5971677494685788,0.8584070796460177,0.35365853658536583,0.6466666666666666,0.6444444444444445,0.7197037037037037,0.4357671522653979,97,53,16,29,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,14,0.0005000000237487257,0.6014170050621033,0.713958203792572,0.6410256410256411,0.6499999999999999,0.5961538461538461,0.8636363636363636,0.35294117647058826,0.6333333333333333,0.6666666666666666,0.7191111111111113,0.43002447772873786,95,55,15,30,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,15,0.0005000000237487257,0.5854783058166504,0.71793133020401,0.676923076923077,0.6577777777777778,0.6190579552854352,0.859504132231405,0.3783783783783784,0.6933333333333334,0.6222222222222222,0.7198518518518516,0.45015614311722263,104,46,17,28,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,16,0.0002500000118743628,0.552059531211853,0.7408432364463806,0.6717948717948717,0.6466666666666667,0.6111665004985045,0.8524590163934426,0.3698630136986301,0.6933333333333334,0.6,0.7136296296296296,0.43362032280808355,104,46,18,27,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,17,0.0002500000118743628,0.5484417080879211,0.7417380809783936,0.6923076923076923,0.6522222222222223,0.624229188078109,0.8515625,0.3880597014925373,0.7266666666666667,0.5777777777777777,0.7139259259259259,0.4299615624382597,109,41,19,26,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,18,0.0002500000118743628,0.5532030463218689,0.7421502470970154,0.6974358974358974,0.6633333333333333,0.6324398581514967,0.8582677165354331,0.39705882352941174,0.7266666666666667,0.6,0.7220740740740741,0.44799195628414945,109,41,18,27,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,19,0.0002500000118743628,0.5250409841537476,0.7484611868858337,0.676923076923077,0.6344444444444445,0.6075205265007508,0.84251968503937,0.36764705882352944,0.7133333333333334,0.5555555555555556,0.7274074074074074,0.4472449335210272,107,43,20,25,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,20,0.0001250000059371814,0.5275202393531799,0.7526904940605164,0.6820512820512821,0.6455555555555555,0.6157513348588863,0.8492063492063492,0.37681159420289856,0.7133333333333334,0.5777777777777777,0.7238518518518519,0.449756372706858,107,43,19,26,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,21,0.0001250000059371814,0.5220644474029541,0.7541483640670776,0.6923076923076923,0.6599999999999999,0.6281464530892449,0.8571428571428571,0.391304347826087,0.72,0.6,0.7282962962962963,0.4532899636232564,108,42,18,27,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,22,0.0001250000059371814,0.5073838829994202,0.7597246170043945,0.7025641025641025,0.6666666666666666,0.6367548818088387,0.859375,0.40298507462686567,0.7333333333333333,0.6,0.7256296296296296,0.4516008090599055,110,40,18,27,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,0,23,0.0001250000059371814,0.5237073302268982,0.758178174495697,0.717948717948718,0.6766666666666666,0.6498416533350746,0.8625954198473282,0.421875,0.7533333333333333,0.6,0.7297777777777777,0.4549198917034287,113,37,18,27,11,23
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,1,1,0.0005000000237487257,0.737027108669281,0.747766375541687,0.5282051282051282,0.5066666666666666,0.47702891791044777,0.7735849056603774,0.23595505617977527,0.5466666666666666,0.4666666666666667,0.5666666666666667,0.29027852602427473,82,68,24,21,10,22
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,1,2,0.0005000000237487257,0.7243103384971619,0.7509020566940308,0.5435897435897435,0.5011111111111111,0.4804047783000509,0.7699115044247787,0.23170731707317074,0.58,0.4222222222222222,0.5602962962962963,0.28339874098850576,87,63,26,19,10,22
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,1,3,0.0005000000237487257,0.7075292468070984,0.7487629652023315,0.5333333333333333,0.5255555555555556,0.4880413144456305,0.7864077669902912,0.25,0.54,0.5111111111111111,0.5709629629629629,0.2860997642452878,81,69,22,23,10,22
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,1,4,0.0005000000237487257,0.6984038949012756,0.745957612991333,0.5435897435897435,0.5166666666666666,0.48849067169677857,0.7798165137614679,0.2441860465116279,0.5666666666666667,0.4666666666666667,0.5896296296296297,0.3098154653068126,85,65,24,21,10,22
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,1,5,0.0005000000237487257,0.6915004849433899,0.7483761310577393,0.5384615384615384,0.5366666666666666,0.4953416149068323,0.7941176470588235,0.25806451612903225,0.54,0.5333333333333333,0.5761481481481482,0.3070998459772606,81,69,21,24,10,22
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,1,6,0.0005000000237487257,0.6872813701629639,0.7493674159049988,0.5641025641025641,0.5377777777777778,0.5077073866167692,0.7927927927927928,0.2619047619047619,0.5866666666666667,0.4888888888888889,0.5826666666666667,0.30914130011637403,88,62,23,22,10,22
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,1,7,0.0005000000237487257,0.668021023273468,0.7463834285736084,0.5641025641025641,0.5455555555555556,0.5114798549913053,0.7981651376146789,0.26744186046511625,0.58,0.5111111111111111,0.6016296296296296,0.3168929523496831,87,63,22,23,10,22
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,1,8,0.0005000000237487257,0.6593395471572876,0.7580363750457764,0.5846153846153846,0.5511111111111111,0.5231698113207547,0.8,0.275,0.6133333333333333,0.4888888888888889,0.5918518518518519,0.30659540930622414,92,58,23,22,10,22
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,1,9,0.0002500000118743628,0.6513886451721191,0.7554939389228821,0.5794871794871795,0.5711111111111111,0.5304792107117688,0.8148148148148148,0.28735632183908044,0.5866666666666667,0.5555555555555556,0.6042962962962963,0.3178691433991595,88,62,20,25,10,22
