split,experiment,candidate_key,threshold_policy,threshold,parameter_count,model_size_kb_float32_keras,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
train_oof,wavelet_scattering_temporal_mil_attention_robust,mil_attention__proj32__emb16__att16__drop0p35__l20p003__lr0p0003__spdrop0p2__embdrop0p25,fixed_0p5,0.5,24633,379.4140625,0.6709796672828097,0.6344876640106469,0.6050770997375328,0.8431183830606352,0.3647260273972603,0.702485966319166,0.5664893617021277,0.6804010476206727,0.3920126106447217,876,371,163,213
train_oof,wavelet_scattering_temporal_mil_attention_robust,mil_attention__proj32__emb16__att16__drop0p35__l20p003__lr0p0003__spdrop0p2__embdrop0p25,oof_tuned,0.6279127895832062,24633,379.4140625,0.7393715341959335,0.6139767356549335,0.6183263441544687,0.8193798449612403,0.4294294294294294,0.8476343223736968,0.3803191489361702,0.6804010476206727,0.3920126106447217,1057,190,233,143
validation,wavelet_scattering_temporal_mil_attention_robust,mil_attention__proj32__emb16__att16__drop0p35__l20p003__lr0p0003__spdrop0p2__embdrop0p25,fixed_0p5,0.5,24633,379.4140625,0.6590257879656161,0.6143126957803575,0.5890664423885618,0.8311111111111111,0.3467741935483871,0.6977611940298507,0.5308641975308642,0.6578680670720471,0.32149030146061663,187,81,38,43
validation,wavelet_scattering_temporal_mil_attention_robust,mil_attention__proj32__emb16__att16__drop0p35__l20p003__lr0p0003__spdrop0p2__embdrop0p25,oof_tuned_frozen,0.6279127895832062,24633,379.4140625,0.6876790830945558,0.5597475585037774,0.5600009253154747,0.7955390334572491,0.325,0.7985074626865671,0.32098765432098764,0.6578680670720471,0.32149030146061663,214,54,55,26
