pooling_key,statistics,feature_count,fixed_rf,threshold_oof,selected_pooling,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,fixed_0p5__accuracy,fixed_0p5__balanced_accuracy,fixed_0p5__macro_f1,fixed_0p5__dry_precision,fixed_0p5__wet_precision,fixed_0p5__dry_recall,fixed_0p5__wet_recall,fixed_0p5__roc_auc,fixed_0p5__average_precision_wet,fixed_0p5__tn_dry_correct,fixed_0p5__fp_dry_as_wet,fixed_0p5__fn_wet_as_dry,fixed_0p5__tp_wet_correct
mean_std_max,mean|std|max,1932,rf__trees300__depth10__leaf5__features0p1,0.3720109699307507,True,0.7005545286506469,0.6481609053217082,0.6264194373401535,0.8462238398544131,0.3950381679389313,0.7457898957497995,0.550531914893617,0.6703983176645224,0.36267969230667985,930,317,169,207,0.7486136783733827,0.5689057994505964,0.5740508218148883,0.7964664310954064,0.4230769230769231,0.9037690457097033,0.23404255319148937,0.6703983176645224,0.36267969230667985,1127,120,288,88
mean,mean,644,rf__trees300__depth10__leaf5__features0p1,0.4331409770441902,False,0.7252002464571781,0.6093987271579451,0.6104034084548281,0.8186157517899761,0.40437158469945356,0.8251804330392943,0.39361702127659576,0.6578127932570084,0.3544853070052506,1029,218,228,148,0.751694393099199,0.568124136224812,0.5729585950644706,0.7959326788218793,0.43147208121827413,0.9101844426623897,0.22606382978723405,0.6578127932570084,0.3544853070052506,1135,112,291,85
mean_std,mean|std,1288,rf__trees300__depth10__leaf5__features0p1,0.40184718681139675,False,0.7048675292667899,0.6091705198860243,0.6037082593977048,0.8210702341137124,0.3793911007025761,0.7874899759422614,0.4308510638297872,0.6553771605043595,0.3412357869124605,982,265,214,162,0.747381392483056,0.5495273763415175,0.5486161986161986,0.7880247763248451,0.4,0.9182036888532478,0.18085106382978725,0.6553771605043595,0.3412357869124605,1145,102,308,68
