dataset,experiment,pooling_key,candidate_key,feature_count,model_size_kb_joblib,threshold_policy,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct,rf_tree_count,rf_total_nodes,rf_total_leaves,rf_mean_nodes_per_tree,rf_max_observed_depth
train_oof,wavelet_scattering_recording_rf,mean_std_max,rf__trees200__depth8__leaf5__features0p1,1932,594.333984375,fixed_0p5,0.5,0.7387553912507702,0.5866398505349009,0.5931195633150592,0.8054936896807721,0.41304347826086957,0.8700882117080995,0.30319148936170215,0.673625211145046,0.36119497348624147,1085,162,262,114,200,20204,10202,101.02,8
train_oof,wavelet_scattering_recording_rf,mean_std_max,rf__trees200__depth8__leaf5__features0p1,1932,594.333984375,oof_tuned_frozen,0.41630932262664555,0.7128773875539125,0.6478207271920695,0.6319634765412105,0.8434476693051891,0.4074074074074074,0.7690457097032879,0.526595744680851,0.673625211145046,0.36119497348624147,959,288,178,198,200,20204,10202,101.02,8
validation,wavelet_scattering_recording_rf,mean_std_max,rf__trees200__depth8__leaf5__features0p1,1932,594.333984375,fixed_0p5,0.5,0.7077363896848138,0.5685000921319329,0.5710670908039329,0.7985611510791367,0.352112676056338,0.8283582089552238,0.30864197530864196,0.6299520913948775,0.3294188523654041,222,46,56,25,200,20204,10202,101.02,8
validation,wavelet_scattering_recording_rf,mean_std_max,rf__trees200__depth8__leaf5__features0p1,1932,594.333984375,oof_tuned_frozen,0.41630932262664555,0.6590257879656161,0.6013911921872122,0.5817665481717204,0.8225108225108225,0.3389830508474576,0.7089552238805971,0.49382716049382713,0.6299520913948775,0.3294188523654041,190,78,41,40,200,20204,10202,101.02,8
