fold,recording_count,candidate_key,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
0,325,smote__ratio0p75__k3,0.4618938468938806,0.7353846153846154,0.6033343901923484,0.6085434173669468,0.8122605363984674,0.421875,0.8514056224899599,0.35526315789473684,0.6621750158528854,0.36751338304136577,212,37,49,27
1,325,smote__ratio0p75__k3,0.4618938468938806,0.7138461538461538,0.5853333333333333,0.5872311369067941,0.807843137254902,0.37142857142857144,0.824,0.3466666666666667,0.5959466666666667,0.3141937842659035,206,44,49,26
2,324,smote__ratio0p75__k3,0.4618938468938806,0.7376543209876543,0.6383132530120482,0.6363636363636364,0.8333333333333334,0.4358974358974359,0.8232931726907631,0.4533333333333333,0.6985274431057564,0.39546157911958,205,44,41,34
3,325,smote__ratio0p75__k3,0.4618938468938806,0.76,0.6293333333333333,0.6373598077363241,0.8257575757575758,0.47540983606557374,0.872,0.38666666666666666,0.6794666666666667,0.40284952227823034,218,32,46,29
4,324,smote__ratio0p75__k3,0.4618938468938806,0.7283950617283951,0.6043373493975903,0.6071428571428571,0.8156862745098039,0.4057971014492754,0.8353413654618473,0.37333333333333335,0.6621151271753682,0.38734562412937157,208,41,47,28
