role,key,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
weighted_reference,reference_weighted__no_smote,0.7270486752926679,0.631035762425566,0.6271826869080008,0.8305921052631579,0.4176904176904177,0.809943865276664,0.4521276595744681,0.6663119145523726,0.37500514074451946,1010,237,206,170
unweighted_control,control_unweighted__no_smote,0.7159581022797289,0.6182454913067958,0.6140444543486369,0.824793388429752,0.39709443099273606,0.8003207698476343,0.43617021276595747,0.6646888703100207,0.3730279907389862,998,249,212,164
selected_smote,smote__ratio0p75__k3,0.7350585335797906,0.6120988244126329,0.6155096347096365,0.8188914910226386,0.42105263157894735,0.8412189254210104,0.3829787234042553,0.6584739545121057,0.3616104343139455,1049,198,232,144
