dataset,experiment,candidate_key,threshold,feature_count,sampling_strategy,k_neighbors,model_size_kb_joblib,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct,rf_tree_count,rf_total_nodes,rf_total_leaves,rf_mean_nodes_per_tree,rf_max_observed_depth
train_oof,wavelet_scattering_smote_rf_event,smote__ratio0p75__k3,0.4618938468938806,644,0.75,3,2209.8173828125,0.7350585335797906,0.6120988244126329,0.6155096347096365,0.8188914910226386,0.42105263157894735,0.8412189254210104,0.3829787234042553,0.6584739545121057,0.3616104343139455,1049,198,232,144,300,95680,47990,318.93333333333334,10
validation,wavelet_scattering_smote_rf_event,smote__ratio0p75__k3,0.4618938468938806,644,0.75,3,2209.8173828125,0.7048710601719198,0.5752487562189055,0.5767804372652672,0.8021978021978022,0.35526315789473684,0.8171641791044776,0.3333333333333333,0.6286622443338861,0.3242636407961267,219,49,54,27,300,95680,47990,318.93333333333334,10
