candidate_key,candidate_kind,sampling_strategy,k_neighbors,selected_smote_candidate,fixed_rf,threshold_oof,elapsed_seconds_total_search,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
reference_weighted__no_smote,reference,,,False,rf__trees300__depth10__leaf5__features0p1,0.4037241592771268,298.8508552983403,0.7270486752926679,0.631035762425566,0.6271826869080008,0.8305921052631579,0.4176904176904177,0.809943865276664,0.4521276595744681,0.6663119145523726,0.37500514074451946,1010,237,206,170
smote__ratio0p75__k3,smote,0.75,3.0,True,rf__trees300__depth10__leaf5__features0p1,0.4618938468938806,298.8508552983403,0.7350585335797906,0.6120988244126329,0.6155096347096365,0.8188914910226386,0.42105263157894735,0.8412189254210104,0.3829787234042553,0.6584739545121057,0.3616104343139455,1049,198,232,144
control_unweighted__no_smote,control,,,False,rf__trees300__depth10__leaf5__features0p1,0.2949434373195098,298.8508552983403,0.7159581022797289,0.6182454913067958,0.6140444543486369,0.824793388429752,0.39709443099273606,0.8003207698476343,0.43617021276595747,0.6646888703100207,0.3730279907389862,998,249,212,164
smote__ratio0p75__k5,smote,0.75,5.0,False,rf__trees300__depth10__leaf5__features0p1,0.4452748000977311,298.8508552983403,0.7165742452248922,0.6177176286918391,0.6138831999007013,0.8244023083264633,0.3975609756097561,0.8019246190858059,0.43351063829787234,0.6593718541520927,0.36750912175906336,1000,247,213,163
smote__ratio0p5__k5,smote,0.5,5.0,False,rf__trees300__depth10__leaf5__features0p1,0.36968974780033137,298.8508552983403,0.7147258163894024,0.6155859168387108,0.6117010199805397,0.8234323432343235,0.39416058394160586,0.8003207698476343,0.4308510638297872,0.6626883243187907,0.3729096451197753,998,249,214,162
smote__ratio1p0__k5,smote,1.0,5.0,False,rf__trees300__depth10__leaf5__features0p1,0.5202777884823475,298.8508552983403,0.7307455329636475,0.6074344383968333,0.610414028920229,0.8169014084507042,0.4115942028985507,0.8372093023255814,0.3776595744680851,0.6472662048490847,0.3517722937775116,1044,203,234,142
smote__ratio1p0__k3,smote,1.0,3.0,False,rf__trees300__depth10__leaf5__features0p1,0.49593374901287324,298.8508552983403,0.7067159581022797,0.6150175314371513,0.6084716900808855,0.8242220353238016,0.3847926267281106,0.7858861267040899,0.4441489361702128,0.6490811991332388,0.35063615753186406,980,267,209,167
smote__ratio0p5__k3,smote,0.5,3.0,False,rf__trees300__depth10__leaf5__features0p1,0.39452180658366587,298.8508552983403,0.7399876771410967,0.6013741490214813,0.6074767319242584,0.8127369219105383,0.4243421052631579,0.859663191659984,0.34308510638297873,0.6622532375573718,0.37359069369694425,1072,175,247,129
