fold_excluded,gold_multiplier,class_name,consensus_group,recording_count,weight_sum,weight_mean
0,1.0,dry,gold_3_of_4,25,16.25751503006012,0.6503006012024047
0,1.0,dry,gold_4_of_4,20,13.006012024048097,0.6503006012024048
0,1.0,dry,weak_1_vote,949,617.1352705410821,0.6503006012024048
0,1.0,dry,weak_4_eval_2_1_1,4,2.6012024048096194,0.6503006012024048
0,1.0,wet,gold_3_of_4,2,4.326666666666667,2.1633333333333336
0,1.0,wet,gold_4_of_4,2,4.326666666666667,2.1633333333333336
0,1.0,wet,weak_1_vote,292,631.6933333333334,2.1633333333333336
0,1.0,wet,weak_4_eval_2_1_1,4,8.653333333333334,2.1633333333333336
0,1.5,dry,gold_3_of_4,25,23.84860362567369,0.9539441450269476
0,1.5,dry,gold_4_of_4,20,19.078882900538954,0.9539441450269477
0,1.5,dry,weak_1_vote,949,603.5286624203823,0.6359627633512985
0,1.5,dry,weak_4_eval_2_1_1,4,2.5438510534051937,0.6359627633512984
0,1.5,wet,gold_3_of_4,2,6.447019867549669,3.2235099337748343
0,1.5,wet,gold_4_of_4,2,6.447019867549669,3.2235099337748343
0,1.5,wet,weak_1_vote,292,627.5099337748344,2.149006622516556
0,1.5,wet,weak_4_eval_2_1_1,4,8.596026490066226,2.1490066225165565
0,2.0,dry,gold_3_of_4,25,31.112176414189832,1.2444870565675934
0,2.0,dry,gold_4_of_4,20,24.889741131351865,1.2444870565675932
0,2.0,dry,weak_1_vote,949,590.5091083413231,0.6222435282837967
0,2.0,dry,weak_4_eval_2_1_1,4,2.488974113135187,0.6222435282837967
0,2.0,wet,gold_3_of_4,2,8.539473684210526,4.269736842105263
0,2.0,wet,gold_4_of_4,2,8.539473684210526,4.269736842105263
0,2.0,wet,weak_1_vote,292,623.3815789473683,2.1348684210526314
0,2.0,wet,weak_4_eval_2_1_1,4,8.539473684210526,2.1348684210526314
0,3.0,dry,gold_3_of_4,25,44.73805147058824,1.7895220588235297
0,3.0,dry,gold_4_of_4,20,35.79044117647059,1.7895220588235294
0,3.0,dry,weak_1_vote,949,566.0854779411764,0.5965073529411763
0,3.0,dry,weak_4_eval_2_1_1,4,2.386029411764706,0.5965073529411765
0,3.0,wet,gold_3_of_4,2,12.642857142857142,6.321428571428571
0,3.0,wet,gold_4_of_4,2,12.642857142857142,6.321428571428571
0,3.0,wet,weak_1_vote,292,615.2857142857143,2.107142857142857
0,3.0,wet,weak_4_eval_2_1_1,4,8.428571428571429,2.107142857142857
1,1.0,dry,gold_3_of_4,21,13.670010030090275,0.6509528585757274
1,1.0,dry,gold_4_of_4,24,15.622868605817452,0.6509528585757272
1,1.0,dry,weak_1_vote,948,617.1033099297895,0.6509528585757273
1,1.0,dry,weak_4_eval_2_1_1,4,2.6038114343029086,0.6509528585757272
1,1.0,wet,gold_3_of_4,2,4.312292358803987,2.1561461794019934
1,1.0,wet,gold_4_of_4,3,6.46843853820598,2.1561461794019934
1,1.0,wet,weak_1_vote,293,631.750830564784,2.1561461794019934
1,1.0,wet,weak_4_eval_2_1_1,3,6.46843853820598,2.1561461794019934
1,1.5,dry,gold_3_of_4,21,20.05247670426679,0.9548798430603234
1,1.5,dry,gold_4_of_4,24,22.917116233447768,0.9548798430603237
1,1.5,dry,weak_1_vote,948,603.4840608141245,0.6365865620402157
1,1.5,dry,weak_4_eval_2_1_1,4,2.546346248160863,0.6365865620402158
1,1.5,wet,gold_3_of_4,2,6.415156507413509,3.2075782537067545
1,1.5,wet,gold_4_of_4,3,9.622734761120263,3.2075782537067545
1,1.5,wet,weak_1_vote,293,626.5469522240528,2.13838550247117
1,1.5,wet,weak_4_eval_2_1_1,3,6.415156507413508,2.1383855024711695
1,2.0,dry,gold_3_of_4,21,26.15930902111324,1.2456813819577734
1,2.0,dry,gold_4_of_4,24,29.896353166986565,1.2456813819577734
1,2.0,dry,weak_1_vote,948,590.4529750479846,0.6228406909788867
1,2.0,dry,weak_4_eval_2_1_1,4,2.491362763915547,0.6228406909788867
1,2.0,wet,gold_3_of_4,2,8.483660130718954,4.241830065359477
1,2.0,wet,gold_4_of_4,3,12.725490196078432,4.241830065359477
1,2.0,wet,weak_1_vote,293,621.4281045751634,2.1209150326797386
1,2.0,wet,weak_4_eval_2_1_1,3,6.362745098039216,2.1209150326797386
1,3.0,dry,gold_3_of_4,21,37.61453541858325,1.791168353265869
1,3.0,dry,gold_4_of_4,24,42.98804047838087,1.7911683532658695
1,3.0,dry,weak_1_vote,948,566.0091996320149,0.59705611775529
1,3.0,dry,weak_4_eval_2_1_1,4,2.388224471021159,0.5970561177552898
1,3.0,wet,gold_3_of_4,2,12.520900321543408,6.260450160771704
1,3.0,wet,gold_4_of_4,3,18.781350482315112,6.260450160771704
1,3.0,wet,weak_1_vote,293,611.4372990353698,2.086816720257235
1,3.0,wet,weak_4_eval_2_1_1,3,6.260450160771704,2.0868167202572345
2,1.0,dry,gold_3_of_4,22,14.317635270541079,0.6508016032064127
2,1.0,dry,gold_4_of_4,23,14.96843687374749,0.6508016032064127
2,1.0,dry,weak_1_vote,949,617.6107214428855,0.6508016032064126
2,1.0,dry,weak_4_eval_2_1_1,4,2.603206412825651,0.6508016032064128
2,1.0,wet,gold_3_of_4,3,6.4734219269103,2.1578073089700998
2,1.0,wet,gold_4_of_4,2,4.3156146179401995,2.1578073089700998
2,1.0,wet,weak_1_vote,294,634.3953488372092,2.1578073089700993
2,1.0,wet,weak_4_eval_2_1_1,2,4.3156146179401995,2.1578073089700998
2,1.5,dry,gold_3_of_4,22,21.002939735423812,0.9546790788829006
2,1.5,dry,gold_4_of_4,23,21.957618814306713,0.9546790788829006
2,1.5,dry,weak_1_vote,949,603.9936305732483,0.6364527192552669
2,1.5,dry,weak_4_eval_2_1_1,4,2.545810877021068,0.636452719255267
2,1.5,wet,gold_3_of_4,3,9.63014827018122,3.2100494233937398
2,1.5,wet,gold_4_of_4,2,6.4200988467874796,3.2100494233937398
2,1.5,wet,weak_1_vote,294,629.1696869851731,2.1400329489291603
2,1.5,wet,weak_4_eval_2_1_1,2,4.28006589785832,2.14003294892916
2,2.0,dry,gold_3_of_4,22,27.39980824544583,1.2454458293384467
2,2.0,dry,gold_4_of_4,23,28.645254074784276,1.2454458293384467
2,2.0,dry,weak_1_vote,949,590.9640460210929,0.6227229146692234
2,2.0,dry,weak_4_eval_2_1_1,4,2.4908916586768934,0.6227229146692234
2,2.0,wet,gold_3_of_4,3,12.735294117647058,4.245098039215686
2,2.0,wet,gold_4_of_4,2,8.490196078431373,4.245098039215686
2,2.0,wet,weak_1_vote,294,624.0294117647059,2.122549019607843
2,2.0,wet,weak_4_eval_2_1_1,2,4.245098039215686,2.122549019607843
2,3.0,dry,gold_3_of_4,22,39.39981617647058,1.7909007352941173
2,3.0,dry,gold_4_of_4,23,41.190716911764696,1.7909007352941173
2,3.0,dry,weak_1_vote,949,566.5215992647057,0.5969669117647057
2,3.0,dry,weak_4_eval_2_1_1,4,2.3878676470588234,0.5969669117647058
2,3.0,wet,gold_3_of_4,3,18.79581993569132,6.265273311897107
2,3.0,wet,gold_4_of_4,2,12.530546623794212,6.265273311897106
2,3.0,wet,weak_1_vote,294,613.9967845659164,2.0884244372990355
2,3.0,wet,weak_4_eval_2_1_1,2,4.176848874598071,2.0884244372990355
3,1.0,dry,gold_3_of_4,22,14.320962888666003,0.6509528585757274
3,1.0,dry,gold_4_of_4,22,14.320962888666003,0.6509528585757274
3,1.0,dry,weak_1_vote,949,617.7542627883652,0.6509528585757273
3,1.0,dry,weak_4_eval_2_1_1,4,2.6038114343029086,0.6509528585757272
3,1.0,wet,gold_3_of_4,2,4.312292358803987,2.1561461794019934
3,1.0,wet,gold_4_of_4,3,6.46843853820598,2.1561461794019934
3,1.0,wet,weak_1_vote,293,631.750830564784,2.1561461794019934
3,1.0,wet,weak_4_eval_2_1_1,3,6.46843853820598,2.1561461794019934
3,1.5,dry,gold_3_of_4,22,21.017664376840045,0.9553483807654566
3,1.5,dry,gold_4_of_4,22,21.017664376840045,0.9553483807654566
3,1.5,dry,weak_1_vote,949,604.4170755642785,0.6368989205103041
3,1.5,dry,weak_4_eval_2_1_1,4,2.5475956820412167,0.6368989205103042
3,1.5,wet,gold_3_of_4,2,6.415156507413509,3.2075782537067545
3,1.5,wet,gold_4_of_4,3,9.622734761120263,3.2075782537067545
3,1.5,wet,weak_1_vote,293,626.5469522240528,2.13838550247117
3,1.5,wet,weak_4_eval_2_1_1,3,6.415156507413508,2.1383855024711695
3,2.0,dry,gold_3_of_4,22,27.431316042267042,1.246878001921229
3,2.0,dry,gold_4_of_4,22,27.431316042267042,1.246878001921229
3,2.0,dry,weak_1_vote,949,591.6436119116236,0.6234390009606149
3,2.0,dry,weak_4_eval_2_1_1,4,2.493756003842459,0.6234390009606148
3,2.0,wet,gold_3_of_4,2,8.483660130718954,4.241830065359477
3,2.0,wet,gold_4_of_4,3,12.725490196078432,4.241830065359477
3,2.0,wet,weak_1_vote,293,621.4281045751634,2.1209150326797386
3,2.0,wet,weak_4_eval_2_1_1,3,6.362745098039216,2.1209150326797386
3,3.0,dry,gold_3_of_4,22,39.47834101382488,1.7944700460829492
3,3.0,dry,gold_4_of_4,22,39.47834101382488,1.7944700460829492
3,3.0,dry,weak_1_vote,949,567.6506912442396,0.5981566820276497
3,3.0,dry,weak_4_eval_2_1_1,4,2.3926267281105993,0.5981566820276498
3,3.0,wet,gold_3_of_4,2,12.520900321543408,6.260450160771704
3,3.0,wet,gold_4_of_4,3,18.781350482315112,6.260450160771704
3,3.0,wet,weak_1_vote,293,611.4372990353698,2.086816720257235
3,3.0,wet,weak_4_eval_2_1_1,3,6.260450160771704,2.0868167202572345
4,1.0,dry,gold_3_of_4,22,14.317635270541079,0.6508016032064127
4,1.0,dry,gold_4_of_4,23,14.96843687374749,0.6508016032064127
4,1.0,dry,weak_1_vote,949,617.6107214428855,0.6508016032064126
4,1.0,dry,weak_4_eval_2_1_1,4,2.603206412825651,0.6508016032064128
4,1.0,wet,gold_3_of_4,3,6.4734219269103,2.1578073089700998
4,1.0,wet,gold_4_of_4,2,4.3156146179401995,2.1578073089700998
4,1.0,wet,weak_1_vote,292,630.0797342192691,2.1578073089700998
4,1.0,wet,weak_4_eval_2_1_1,4,8.631229235880399,2.1578073089700998
4,1.5,dry,gold_3_of_4,22,21.002939735423812,0.9546790788829006
4,1.5,dry,gold_4_of_4,23,21.957618814306713,0.9546790788829006
4,1.5,dry,weak_1_vote,949,603.9936305732483,0.6364527192552669
4,1.5,dry,weak_4_eval_2_1_1,4,2.545810877021068,0.636452719255267
4,1.5,wet,gold_3_of_4,3,9.63014827018122,3.2100494233937398
4,1.5,wet,gold_4_of_4,2,6.4200988467874796,3.2100494233937398
4,1.5,wet,weak_1_vote,292,624.8896210873148,2.1400329489291603
4,1.5,wet,weak_4_eval_2_1_1,4,8.56013179571664,2.14003294892916
4,2.0,dry,gold_3_of_4,22,27.39980824544583,1.2454458293384467
4,2.0,dry,gold_4_of_4,23,28.645254074784276,1.2454458293384467
4,2.0,dry,weak_1_vote,949,590.9640460210929,0.6227229146692234
4,2.0,dry,weak_4_eval_2_1_1,4,2.4908916586768934,0.6227229146692234
4,2.0,wet,gold_3_of_4,3,12.735294117647058,4.245098039215686
