fold,recording_count,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
0,325,0.0,0.68,0.6403244557176073,0.6132723112128147,0.8436018957345972,0.37719298245614036,0.714859437751004,0.5657894736842105,0.6646057915874022,0.39140380408886516,178,71,33,43
1,325,0.0,0.6492307692307693,0.5993333333333333,0.5760869565217391,0.8238095238095238,0.33043478260869563,0.692,0.5066666666666667,0.6343466666666667,0.32224130848136445,173,77,37,38
2,324,0.0,0.691358024691358,0.61285140562249,0.6012798424809254,0.8253275109170306,0.3684210526315789,0.7590361445783133,0.4666666666666667,0.6688085676037483,0.4161895551829338,189,60,40,35
3,325,0.0,0.7169230769230769,0.6246666666666667,0.6186224489795918,0.8291666666666667,0.4,0.796,0.4533333333333333,0.6985066666666667,0.35563262560046105,199,51,41,34
4,324,0.0,0.7129629629629629,0.6641767068273092,0.6410763421519696,0.8545454545454545,0.41346153846153844,0.7550200803212851,0.5733333333333334,0.7164658634538152,0.4280980573175096,188,61,32,43
