dataset,experiment,pooling_key,candidate_key,C,gamma,gamma_multiplier_over_dimension,pca_components,pca_whiten,output_dimension,score_type,model_size_kb_joblib,threshold_policy,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
train_oof,wavelet_scattering_recording_rbf_svm,mean_std_max,rbf_svm__C1__gamma0p5overD__pca64,1.0,0.0078125,0.5,64,True,64,wet_decision_score,,fixed_native,0.0,0.6900800985828712,0.6283409971164838,0.6103944261952406,0.8351351351351352,0.3762183235867446,0.7433841218925421,0.5132978723404256,0.6755809687931887,0.3749259024931437,927,320,183,193
train_oof,wavelet_scattering_recording_rbf_svm,mean_std_max,rbf_svm__C1__gamma0p5overD__pca64,1.0,0.0078125,0.5,64,True,64,wet_decision_score,,oof_tuned_frozen,0.016627269711813858,0.6956253850893407,0.6300920080533706,0.6138171203976649,0.8352626892252895,0.382,0.7522052927024859,0.5079787234042553,0.6755809687931887,0.3749259024931437,938,309,185,191
