dataset,dataset_origin,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct
train_oof_coughvid,COUGHVID,0.5,2034,51,1983,0.9641101278269419,0.6281777461362761,0.9813508064516129,0.9818456883509834,0.27450980392156865,0.9815981850264683,0.6294129538993728,0.8652170903661516,14,37,36,1947
train_oof_fsd50k,FSD50K,0.5,5684,5552,132,0.956368754398311,0.6966312985765435,0.24561403508771928,0.42424242424242425,0.9690201729106628,0.3111111111111111,0.6442910206718346,0.8516982687101562,5380,172,76,56
