dataset,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct
train_oof,0.5,7718,5603,2115,0.9584089142264836,0.9548717358017846,0.9055153707052441,0.9470449172576832,0.9626985543458861,0.9258146521839612,0.948459581020417,0.9863971892801432,5394,209,112,2003
train_fit_original,0.5,7718,5603,2115,0.9644985747603005,0.9598017610457754,0.9232183908045977,0.9494089834515367,0.9701945386400143,0.9361305361305361,0.9557738630769315,0.9899429088351436,5436,167,107,2008
validation,0.5,1709,1246,463,0.9590403744880047,0.9563016339110206,0.9034907597535934,0.9503239740820735,0.9622792937399679,0.9263157894736842,0.9489763712360317,0.9906655942644973,1199,47,23,440
