split,cough_source,n_cough_segments,n_cough_recordings,recall_cough,false_negative_rate,mean_probability_cough,median_probability_cough
train_oof,original_cough,1983,1983,0.9818456883509834,0.018154311649016642,0.9474405347451993,0.9864321457214554
train_oof,new_fsd50k_cough,132,121,0.42424242424242425,0.5757575757575758,0.40605840192760406,0.30275585162538277
