split,experiment,candidate_key,pooling_key,pca_components,threshold_policy,threshold,parameter_count,model_size_kb_float32_keras,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
train_oof,wavelet_scattering_recording_pca128_mlp,pca128_compact__h64x16__drop0p25__l20p01__lr0p0005,mean_std_max,128,fixed_0p5,0.5,9313,1111.755859375,0.6814540973505854,0.6245851746318825,0.6044771722289183,0.8342490842490843,0.3672316384180791,0.7305533279871692,0.5186170212765957,0.6722005152792234,0.3733661682140297,911,336,181,195
train_oof,wavelet_scattering_recording_pca128_mlp,pca128_compact__h64x16__drop0p25__l20p01__lr0p0005,mean_std_max,128,oof_tuned,0.6061409115791321,9313,1111.755859375,0.7332101047443007,0.6136824122575031,0.6162540210220755,0.8199685534591195,0.4188034188034188,0.8364073777064955,0.39095744680851063,0.6722005152792234,0.3733661682140297,1043,204,229,147
validation,wavelet_scattering_recording_pca128_mlp,pca128_compact__h64x16__drop0p25__l20p01__lr0p0005,mean_std_max,128,fixed_0p5,0.5,9313,1111.755859375,0.6532951289398281,0.6364243596830661,0.5974394905672968,0.8483412322274881,0.35507246376811596,0.667910447761194,0.6049382716049383,0.6715496591118482,0.34011058356197194,179,89,32,49
validation,wavelet_scattering_recording_pca128_mlp,pca128_compact__h64x16__drop0p25__l20p01__lr0p0005,mean_std_max,128,oof_tuned_frozen,0.6061409115791321,9313,1111.755859375,0.7048710601719198,0.5881702598120508,0.5877873975116106,0.8089887640449438,0.36585365853658536,0.8059701492537313,0.37037037037037035,0.6715496591118482,0.34011058356197194,216,52,51,30
