candidate_key,pca_components,hidden_units,dropout_rate,l2_strength,learning_rate,parameter_count,threshold_oof,elapsed_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,fixed_0p5__accuracy,fixed_0p5__balanced_accuracy,fixed_0p5__macro_f1,fixed_0p5__dry_precision,fixed_0p5__wet_precision,fixed_0p5__dry_recall,fixed_0p5__wet_recall,fixed_0p5__roc_auc,fixed_0p5__average_precision_wet,fixed_0p5__tn_dry_correct,fixed_0p5__fp_dry_as_wet,fixed_0p5__fn_wet_as_dry,fixed_0p5__tp_wet_correct
pca128_compact__h64x16__drop0p25__l20p01__lr0p0005,128,64x16,0.25,0.01,0.0005,9313,0.6061409115791321,66.6475491989404,0.7332101047443007,0.6136824122575031,0.6162540210220755,0.8199685534591195,0.4188034188034188,0.8364073777064955,0.39095744680851063,0.6722005152792234,0.3733661682140297,1043,204,229,147,0.6814540973505854,0.6245851746318825,0.6044771722289183,0.8342490842490843,0.3672316384180791,0.7305533279871692,0.5186170212765957,0.6722005152792234,0.3733661682140297,911,336,181,195
pca128_tiny__h32x8__drop0p2__l20p01__lr0p0005,128,32x8,0.2,0.01,0.0005,4401,0.5795302093029022,105.08230450004339,0.7202711028958718,0.6126928031530994,0.6114210799431299,0.8210526315789474,0.39948453608247425,0.8131515637530072,0.4122340425531915,0.6522483748229794,0.3445151039826595,1014,233,221,155,0.6494146642020949,0.6046639594601512,0.5794465557167157,0.8265895953757225,0.335042735042735,0.6880513231756215,0.5212765957446809,0.6522483748229794,0.3445151039826595,858,389,180,196
pca128_compact__h64x16__drop0p25__l20p0001__lr0p0005,128,64x16,0.25,0.0001,0.0005,9313,0.5458771586418152,33.611160799860954,0.6894639556377079,0.6065770615434489,0.596509228091914,0.8216450216450216,0.36324786324786323,0.7610264635124299,0.4521276595744681,0.644534115920763,0.3360623574305465,949,298,206,170,0.6272335181762169,0.6041616901841014,0.5691301072046191,0.8302469135802469,0.3241167434715822,0.6471531676022454,0.5611702127659575,0.644534115920763,0.3360623574305465,807,440,165,211
pca128_compact__h64x16__drop0p25__l20p001__lr0p0005,128,64x16,0.25,0.001,0.0005,9313,0.5543338060379028,35.11699499934912,0.6980899568699939,0.6019734597075534,0.5962899714909966,0.8178001679261125,0.3680555555555556,0.781074578989575,0.4228723404255319,0.6464280229998806,0.3371180489619747,974,273,217,159,0.6266173752310537,0.6037607278745585,0.5686433601274328,0.8300720906282183,0.3236196319018405,0.6463512429831596,0.5611702127659575,0.6464280229998806,0.3371180489619747,806,441,165,211
pca128_tiny__h32x8__drop0p2__l20p0001__lr0p0005,128,32x8,0.2,0.0001,0.0005,4401,0.5100008845329285,37.85479849949479,0.6586568083795441,0.6088207442542954,0.5857191038570417,0.8278145695364238,0.34275618374558303,0.7016840417000801,0.5159574468085106,0.6245318551758262,0.3252128175134377,875,372,182,194,0.6377079482439926,0.6026186251258339,0.5731942496493688,0.8272095332671301,0.32792207792207795,0.6680032076984763,0.5372340425531915,0.6245318551758262,0.3252128175134377,833,414,174,202
pca128_tiny__h32x8__drop0p2__l20p001__lr0p0005,128,32x8,0.2,0.001,0.0005,4401,0.5311835706233978,38.484623700380325,0.680837954405422,0.5944618147383508,0.5853011510944671,0.8155844155844156,0.3482905982905983,0.7554129911788292,0.43351063829787234,0.6244454776570152,0.32556599076412857,942,305,213,163,0.6377079482439926,0.6044762749748331,0.5741526104417671,0.8285144566301097,0.32903225806451614,0.6663993584603047,0.5425531914893617,0.6244454776570152,0.32556599076412857,831,416,172,204
